status,occurrence_key,institutionCode,family,species,license,width,height,dorsal_score,raw_path,skeleton_path,url
accepted,2446312411,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8017,museum_butterfly_dorsal/raw_images/nhmuk_2446312411.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312411_skeleton.png,https://data.nhm.ac.uk/media/6ddbe05e-4f24-4266-929f-c9e0d81f2135
accepted,2446312411,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8014,museum_butterfly_dorsal/raw_images/nhmuk_2446312411.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312411_skeleton.png,https://data.nhm.ac.uk/media/8f8d0ae9-a75f-4528-a02b-a6d587320016
accepted,2446090992,NHMUK,Papilionidae,Ornithoptera croesus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7643,museum_butterfly_dorsal/raw_images/nhmuk_2446090992.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446090992_skeleton.png,https://data.nhm.ac.uk/media/2a97cafd-c2e4-4348-8d4e-ae92dd15f99a
accepted,2446313951,NHMUK,Papilionidae,Troides oblongomaculatus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7628,museum_butterfly_dorsal/raw_images/nhmuk_2446313951.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446313951_skeleton.png,https://data.nhm.ac.uk/media/a70d21d7-d32c-4f8e-9f3b-318066da3e59
accepted,2446092169,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7816,museum_butterfly_dorsal/raw_images/nhmuk_2446092169.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446092169_skeleton.png,https://data.nhm.ac.uk/media/aa3b7bb4-a06a-45cd-b790-1ce7559beff7
accepted,2446093174,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7792,museum_butterfly_dorsal/raw_images/nhmuk_2446093174.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446093174_skeleton.png,https://data.nhm.ac.uk/media/24fea975-3845-4851-a032-bbe78360d064
accepted,2446093267,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8319,museum_butterfly_dorsal/raw_images/nhmuk_2446093267.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446093267_skeleton.png,https://data.nhm.ac.uk/media/7f854045-2b4a-451e-8532-09de3eebfc75
accepted,2446314411,NHMUK,Papilionidae,Ornithoptera goliath,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7802,museum_butterfly_dorsal/raw_images/nhmuk_2446314411.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446314411_skeleton.png,https://data.nhm.ac.uk/media/31579615-2a69-46b7-8b99-8e1d949bf33f
reject_not_dorsal,1291305507,NHMUK,Papilionidae,Papilio machaon,http://creativecommons.org/licenses/by/4.0/,1219,800,0.5767,0.3332,0.9980,0.9970,0.0000,0.0280,,,https://data.nhm.ac.uk/media/d609d117-4004-4c57-be82-43f3ff251a80
accepted,2446312458,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8219,0.3840,0.9980,0.9971,0.0000,0.0052,museum_butterfly_dorsal/raw_images/nhmuk_2446312458.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312458_skeleton.png,https://data.nhm.ac.uk/media/48b37a05-d4d0-4158-bf19-1c6dfe6a8712
accepted,2446312741,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8517,0.3553,0.9980,0.9971,0.0000,0.0080,museum_butterfly_dorsal/raw_images/nhmuk_2446312741.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312741_skeleton.png,https://data.nhm.ac.uk/media/aac6cd03-b1d4-42ab-91fe-90787c4d9837
